"ncm;nves;nves_nm;pais_origem;fob_kg_minimo_dolar_truncado;fob_kg_maximo_dolar_truncado;fob_kg_media_dolar_truncado;fob_kg_mediana_dolar_truncado;fob_kg_desvio_padrao_dolar_truncado;fob_kg_quartil1_truncado;fob_kg_quartil3_truncado;fob_ume_minimo_dolar_truncado;fob_ume_maximo_dolar_truncado;fob_ume_media_dolar_truncado;fob_ume_mediana_dolar_truncado;fob_ume_desvio_padrao_dolar_truncado;fob_ume_quartil1_truncado;fob_ume_quartil3_truncado;vmle_soma_dolar_truncado;peso_liq_soma_truncado;qtd_ume_soma_truncado;frete_minimo_dolar_truncado;frete_media_dolar_truncado;frete_mediana_dolar_truncado;frete_maximo_dolar_truncado;frete_desvio_padrao_dolar_truncado;seguro_minimo_dolar_truncado;seguro_media_dolar_truncado;seguro_mediana_dolar_truncado;seguro_maximo_dolar_truncado;seguro_desvio_padrao_dolar_truncado;ume"
"1012100;S/NVE;S/NVE;ESTADOS UNIDOS;22.2;200.0;71.1;50.0;49.0;44.4;104.0;10000.0;90000.0;32000.0;22500.0;22000.0;20000.0;47000.0;506000.0;6300.0;14.0;5600.0;6030.0;5600.0;11200.0;1550.0;0.0;745.0;0.0;8200.0;2270.0;Unidade"
"2013000;S/NVE;S/NVE;ARGENTINA;6.69;13.3;11.3;11.3;1.73;11.0;12.3;6.69;13.3;11.3;11.3;1.73;11.0;12.3;1530000.0;139000.0;139000.0;632.0;1650.0;1760.0;2600.0;701.0;0.0;98.8;0.0;334.0;123.0;Quilograma"
"2013000;S/NVE;S/NVE;PARAGUAI;4.12;8.23;5.76;5.51;0.972;5.19;5.77;4.12;8.23;5.76;5.51;0.972;5.19;5.77;3790000.0;658000.0;658000.0;500.0;781.0;500.0;2200.0;496.0;0.0;203.0;286.0;320.0;135.0;Quilograma"
"2013000;S/NVE;S/NVE;URUGUAI;5.7;12.4;9.67;9.06;2.47;7.82;12.0;5.7;12.4;9.67;9.06;2.47;7.82;12.0;838000.0;89000.0;89000.0;70.9;751.0;929.0;1000.0;347.0;0.0;156.0;68.9;426.0;183.0;Quilograma"
"2023000;S/NVE;S/NVE;ARGENTINA;5.61;12.1;9.8;10.7;2.06;8.75;11.1;5.61;12.1;9.8;10.7;2.06;8.75;11.1;2540000.0;266000.0;266000.0;648.0;1480.0;1600.0;2200.0;495.0;0.0;39.7;0.0;169.0;61.4;Quilograma"
"2023000;S/NVE;S/NVE;AUSTRALIA;9.63;10.7;10.1;10.0;0.306;10.0;10.1;9.63;10.7;10.1;10.0;0.306;10.0;10.1;1070000.0;106000.0;106000.0;3800.0;5050.0;5390.0;6520.0;854.0;360.0;373.0;372.0;391.0;10.1;Quilograma"
"2023000;S/NVE;S/NVE;BRASIL;3.07;12.5;5.46;5.28;2.25;4.98;5.52;3.07;12.5;5.46;5.28;2.25;4.98;5.52;1540000.0;290000.0;290000.0;354.0;2240.0;2290.0;4970.0;1290.0;0.0;5.53;0.0;32.3;10.1;Quilograma"
"2023000;S/NVE;S/NVE;URUGUAI;6.87;35.8;10.3;9.99;4.55;7.27;11.0;6.87;35.8;10.3;9.99;4.55;7.27;11.0;4770000.0;463000.0;463000.0;8.07;529.0;541.0;1000.0;331.0;0.0;48.1;0.0;478.0;129.0;Quilograma"
"2044200;S/NVE;S/NVE;URUGUAI;4.5;11.1;6.21;5.55;1.85;5.02;6.49;4.5;11.1;6.21;5.55;1.85;5.02;6.49;1960000.0;307000.0;307000.0;330.0;820.0;930.0;1000.0;216.0;0.0;32.4;0.0;107.0;38.7;Quilograma"
"2044300;S/NVE;S/NVE;URUGUAI;3.0;10.0;6.14;6.2;1.86;5.63;6.4;3.0;10.0;6.14;6.2;1.86;5.63;6.4;522000.0;86900.0;86900.0;66.6;303.0;177.0;1000.0;324.0;0.0;11.8;0.0;62.7;23.3;Quilograma"
